@RELATION comb2_new2

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL

@DATA
Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Year,DISTRICT
67,144,7,165,4,501,4,52
61,102,7,118,1,335,5,52
65,127,9,151,3,437,6,52
92,119,6,155,2,530,7,52
40,80,6,73,1,402,8,52
44,70,7,82,0,463,9,52
42,96,6,76,0,516,10,52
50,98,4,48,1,588,11,52
59,81,6,64,1,608,12,52
93,150,4,142,0,782,13,52
24,14,8,73,3,174,1,53
22,14,8,50,0,163,2,53
22,14,15,76,1,173,3,53
15,19,7,44,0,198,4,53
18,19,7,60,0,149,5,53
17,11,10,16,0,183,6,53
27,18,11,38,0,244,7,53
37,22,16,16,0,212,8,53
33,22,11,19,0,296,9,53
49,17,22,10,0,301,10,53
37,26,10,11,0,342,11,53
59,26,8,5,0,405,12,53
73,54,10,15,0,420,13,53
9,26,8,31,0,60,1,54
16,27,5,10,0,82,2,54
17,21,3,20,0,61,3,54
14,30,14,30,0,89,4,54
12,16,13,12,0,83,5,54
16,19,14,34,0,105,6,54
16,43,12,39,0,112,7,54
21,48,9,34,0,100,8,54
13,62,14,19,0,144,9,54
24,69,18,18,0,162,10,54
13,72,12,17,0,184,11,54
14,75,19,9,0,181,12,54
41,103,11,163,0,221,13,54
24,33,21,34,0,93,1,55
26,45,25,43,0,78,2,55
20,27,21,36,0,92,3,55
31,27,12,50,0,127,4,55
25,35,17,30,0,98,5,55
28,33,25,33,0,116,6,55
20,41,13,22,0,164,7,55
21,46,19,9,0,127,8,55
30,52,32,19,0,180,9,55
22,53,28,18,0,186,10,55
32,64,19,12,0,197,11,55
32,60,30,19,0,195,12,55
56,72,40,28,0,196,13,55
17,50,3,56,0,60,1,56
21,40,4,58,1,42,2,56
